date,close,session_volume,prev_high,prev_low,prev_close,rolling_high,rolling_low,zone_mid,zone_top,zone_bottom,vol_zone_top,vol_zone_bottom,avg_dist_to_prev_high,min_dist_to_prev_high,avg_dist_to_prev_low,max_dist_to_prev_low,avg_ratio_to_high,avg_ratio_to_low,broke_prev_high,broke_prev_low,breakout_above_magnitude,breakout_below_magnitude,broke_above_prev_high_any,broke_above_prev_high_sum,broke_below_prev_low_any,broke_below_prev_low_sum,broke_above_zone_top_any,broke_above_zone_top_sum,broke_below_zone_bottom_any,broke_below_zone_bottom_sum,broke_above_prev_close_any,broke_above_prev_close_sum,broke_below_prev_close_any,broke_below_prev_close_sum,minutes_to_breakout_above_close,minutes_to_breakout_below_close
2024-10-17,2683.1,40291,2684.38,2665.6,2680.81,2657.34,2638.33,2647.835,2652.5875,2643.0825,2682.211,2680.563,-2.616052631579059,-9.800000000000182,16.16394736842114,22.809999999999945,-0.1392999197166726,0.8607000270351939,1.0,0.0,4.420000000000073,0.0,True,24,False,0,True,114,False,0,True,82,True,58,70.0,0.0
2024-10-22,2739.37,39147,2740.21,2723.53,2736.07,2716.97,2701.78,2709.375,2713.1724999999997,2705.5775000000003,2735.568,2734.377,-5.687982456140397,-10.170000000000073,10.99201754385944,15.83999999999969,-0.3410061220104515,0.6589938180375137,1.0,0.0,0.11999999999989086,0.0,True,2,False,0,True,114,False,0,True,35,True,99,140.0,0.0
2024-10-23,2739.36,41072,2740.33,2729.02,2739.37,2740.21,2723.53,2731.87,2736.04,2727.7,2752.824,2750.001,10.143596491228122,-5.690000000000055,21.453596491228065,28.75,0.8968696369901444,1.8968695485728226,1.0,0.0,18.139999999999873,0.0,True,112,False,0,True,114,False,0,True,112,True,5,0.0,545.0
2024-10-24,2742.54,39929,2758.47,2731.65,2739.36,2740.33,2729.02,2734.675,2737.5025,2731.8475000000003,2738.474,2736.391,-23.94964912280682,-35.059999999999945,2.870350877192889,10.889999999999873,-0.8929771897774008,0.10702277293699282,0.0,1.0,0.0,8.800000000000182,False,0,True,30,True,50,True,30,True,13,True,110,465.0,0.0
2024-10-28,2741.59,38951,2732.6,2717.02,2728.35,2742.64,2722.85,2732.745,2737.6925,2727.7974999999997,2742.796,2731.397,3.3251754385965846,-4.589999999999691,18.905175438596512,27.329999999999927,0.21342588094805642,1.2134258167632082,1.0,0.0,11.950000000000273,0.0,True,91,False,0,True,47,False,0,True,114,True,2,0.0,315.0
2024-10-31,2749.86,43203,2789.84,2770.87,2777.32,2771.72,2746.33,2759.0249999999996,2765.3724999999995,2752.6775,2780.484,2776.439,-12.688771929824705,-39.98000000000002,6.281228070175549,14.970000000000255,-0.6688862024743454,0.3311137448108445,0.0,1.0,0.0,22.73999999999978,False,0,True,18,True,104,True,6,True,88,True,41,0.0,210.0
2024-11-01,2751.71,45551,2786.55,2748.13,2749.86,2789.84,2770.87,2780.355,2785.0975,2775.6125,2754.008,2752.175,-33.65192982456158,-40.289999999999964,4.768070175438492,13.08999999999969,-0.8758961204754139,0.12410385349647657,0.0,1.0,0.0,3.2899999999999636,False,0,True,12,False,0,True,114,True,105,True,22,0.0,145.0
2024-11-05,2734.03,42473,2748.16,2732.04,2741.59,2762.26,2744.84,2753.55,2757.905,2749.195,2742.225,2737.441,-8.358333333333169,-16.129999999999654,7.761666666666722,17.480000000000018,-0.5185069984383515,0.48149293952691286,1.0,1.0,1.7200000000002547,0.3400000000001455,True,2,True,2,False,0,True,114,True,45,True,88,170.0,0.0
2024-11-06,2668.3,55162,2749.88,2731.7,2734.03,2748.16,2732.04,2740.1,2744.13,2736.0699999999997,2730.184,2721.037,-45.16675438596501,-96.46000000000004,-26.986754385964716,5.150000000000091,-2.484419796564603,-1.4844198515701008,0.0,1.0,0.0,79.25999999999976,False,0,True,111,False,0,True,113,True,5,True,113,0.0,5.0
2024-11-07,2698.91,46395,2739.33,2652.44,2668.3,2749.88,2731.7,2740.79,2745.335,2736.245,2667.672,2662.721,-69.67254385964902,-85.42999999999984,17.21745614035084,46.4699999999998,-0.801847658623564,0.19815232986763193,0.0,0.0,0.0,0.0,False,0,False,0,False,0,True,114,True,38,True,80,295.0,0.0
